N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,2,0,50,50,5,5,UN,18,AdaptiveMeans2GMM,0,0.00133333333333333,249624.905669014,252074.314510947,252704.306174401,252780.328481215,253621.947063152,255068.567376757,1977047.79625489,50,0.434777777777778,223521.81661533,226509.522294443,228688.8621849,228250.685298275,230605.74654719,235872.557476595,9978849.17622695
10000,3,10,10,0,2,0,50,50,5,5,UN,18,Gonzalez2GMM,0,0.00166666666666667,254164.832439618,259778.794248756,261697.653224846,261390.108990607,264138.390790839,267721.213057442,12241297.5301768,50,0.442888888888889,234134.191556751,237260.735578874,240580.135436733,240455.180366054,242987.584636301,249662.526689744,17515644.4615516
10000,3,10,10,0,2,0,50,50,5,5,UN,18,Alt_AdaptMean+Means2GMM_f0.5,0,0.032,248948.096392866,251212.877916821,252369.393421255,252504.144649661,253223.789649158,255625.843808337,2224313.69049442,50,0.998111111111111,223521.81661533,227485.94448912,229978.513592924,229955.627156621,233292.461472547,239120.81185754,13682444.1833359
10000,3,10,10,0,2,0,50,50,5,5,UN,18,Alt_AdaptMean+Means2GMM_f1,0,0.0163333333333333,249639.669614483,251250.340510916,252166.385200726,252126.941072742,252922.256463213,256159.18468813,1690175.63761657,50,0.454333333333334,226029.446295474,230602.762092777,232923.60224462,232587.318350384,235832.161259638,240518.085566755,16013884.4769732
10000,3,10,10,0,2,0,50,50,5,5,UN,18,AgglomerativeInit__sample0.1,0,0.420666666666667,255636.642483575,260076.241851051,262439.135560056,262495.34462618,264698.658914684,270299.619523635,11100046.9465874,50,1.38133333333333,226029.004418824,231086.316100279,234631.06851493,234726.738658928,237724.656316847,247685.89897283,16239403.2469218
10000,3,10,10,0,2,0,50,50,5,5,UN,18,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00933333333333334,250333.648956332,253596.043402509,255150.449021114,254962.726107362,257025.293328849,259981.741515736,6716885.11405953,50,0.490333333333334,233629.663242755,235855.700066231,239975.074198356,240179.612751345,242095.690651001,252582.01201328,20630498.3184974
10000,3,10,10,0,2,0,50,50,5,5,UN,18,GonzalezKwedlo_.*_sample0.1_,0,0.00166666666666667,1514134.47964528,2322165.02019152,2686286.71394517,2627154.4322686,3089390.42479916,3768388.87413965,312648181765.911,50,0.555444444444445,231859.273381864,237053.678382614,239556.520600443,239594.310543996,242982.800242642,247225.620767607,13012173.1118719
10000,3,10,10,0,2,0,50,50,5,5,UN,19,UniformMeans2GMM,0,0.00133333333333333,249794.723420439,252189.656034028,253195.295738622,252835.808531101,254724.455619062,257959.824262422,4027438.70769012,50,0.436777777777778,223289.783681043,229525.195168227,232087.059033057,231747.677618917,235483.904151939,248734.05222219,23164412.2284542
10000,3,10,10,0,2,0,50,50,5,5,UN,19,AdaptiveMeans2GMM,0,0.00133333333333333,246598.656810403,248154.932770733,249159.843409158,248937.540494978,250405.749399429,252528.22272683,2391410.88978408,50,0.435777777777778,223289.783681043,226632.719102922,229455.363636213,229514.512790931,232176.712478695,236259.214755146,12838795.7888528
10000,3,10,10,0,2,0,50,50,5,5,UN,19,Gonzalez2GMM,0,0.00166666666666667,251642.042827578,255167.298285389,256623.354123315,256007.587447804,257268.912839257,262494.636722132,6019653.63133843,50,0.436888888888889,234276.568084158,241347.656218201,241700.552336798,242280.761684829,242962.063000461,245381.32327128,6426456.88086177
